InputStoryid	InputSentence1	InputSentence2	InputSentence3	InputSentence4	RandomFifthSentenceQuiz1	RandomFifthSentenceQuiz2	AnswerRightEnding
a7905e16-15be-433f-bdef-b488a83e4582	Tony estaba feliz de ir ao seu primeiro cruceiro.	Chegou ao porto preparado con toda a súa equipaxe.	Cando deu a volta á esquina, non deu crédito do grande que era.	Subiu ao barco e saíu do peirao.	Tony gozou do cruceiro.	Tony tiña medo do océano.	1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0	Ignacio quere practicar algo de deporte mentres está na universidade.	Como era un bo nadador, decidiu facer as probas para o equipo de natación.	Ignacio conseguiu entrar no equipo con facilidade.	Na primeira competición de natación, Ignacio conseguiu o segundo posto!	Ignacio deixou a natación.	Ignacio gañou a medalla de prata.	2
1edf348d-6fce-4ea3-937c-28ade02f28b8	Dani mercou un barco.	Ía celebrarse unha carreira no porto deportivo próximo.	Decidiu rexistrarse.	Dani e o seu mellor amigo manexaron o barco.	Dani decidiu ir durmir.	Preparáronse para o comezo da carreira.	2
0fe46de6-6ee3-4932-a578-268917372566	Na escola, Mary tivo que escribir unha redacción sobre os osos panda.	Por sorte, Mary encantábanlle os pandas, e estaba desexando comezar.	En canto chegou a casa, Mary acendeu o ordenador e comezou.	Escribiu todo o que sabía e tamén investigou algo!	A Mary non lle gustaban os osos panda.	Mary non podía esperar para presentar o seu traballo.	2
625d1e13-8bd3-40b3-ac45-0b16a549fc69	Ellen soñou con gañar un premio polas súas rosas.	Tiña pensado presentar a súa rosa morada especial na feira.	Fertilizou ata o mato de rosa e cubriuno todas as noites.	As rosas medraban máis bonitas todos os días.	Ao final, Ellen gañou o premio.	Ellen tivo que pagar unha nova tarxeta de biblioteca.	1
aa615e4f-83c1-4b65-96a4-6a989d253a52	Jesse acababa de comezar quinto curso.	Intentou facer amigos cos outros rapaces, pero non puido.	Entón decidiu facer amizade coas rapazas.	As mozas acollérono encantadas no seu grupo.	Jesse foi ao parque co seu novo amigo Roger.	Os outros rapaces da escola metíanse con el.	2
fa0d318c-d286-4c8e-adda-c2590f100f02	Tiffany estaba agobiado no traballo.	Aínda que lle gustaba o seu traballo, necesitaba un descanso.	Un día na rúa tropezou nunha beirarrúa en mal estado.	Rompeu o nocello e non puido ir ao traballo durante varios meses.	Tiffany foi ao traballo ao día seguinte.	Estaba dolorida, pero estaba contenta de non ter que ir traballar.	2
501c6884-8885-4df3-ae8c-f3f9328fde54	Gina perdeu o móbil na casa dos seus avós.	Non estaba na sala de estar.	Estivera no coche antes de botar a siesta na sala de estar.	Tomou as chaves do seu pai e saíu correndo.	Pero xa non quería o seu móbil.	Atopou o móbil no coche.	2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb	Alicia ía casarse nunhas semanas.	Unha noite, súa nai chamouna e esqueceu devolver a chamada.	A súa nai deixoulle unha mensaxe enfadada.	Ameazouna con non ir á voda.	Alicia chamou a súa nai e pediu desculpas efusivamente.	Alicia escribiu a un rapaz mono que viu en Tinder.	1
ba87797c-dc31-402b-8740-d30c093d4df7	A Ted encántalle ir ao cine.	Veas case todas e vota nos Oscar.	Celebra unha gran festa para os Oscar e todos apostan.	Ted case sempre gaña coas películas que elixe.	Ted segue vendo varias películas cada semana.	Decide deixar de ver películas.	1
384621a9-d9b6-436d-8914-61a93d916015	Os amigos de Nya preguntáronlle se quería ir a xogar ao paintball.	Estaba nerviosa por ir.	Pero foi de todos os xeitos, coa esperanza de pasalo ben.	Disparou bolas de pintura aos seus amigos e pasou todo o tempo rindo.	Gustoulle tanto que organizou un para a próxima semana.	Disparárona e prometeron que nunca volvería.	1
f531b039-67a6-4797-989d-24f716ed4073	Todos os amigos da clase de Javier teñen teléfonos intelixentes.	Pero el aínda ten un móbil antigo con tapa.	Un día tamén decide mercar un teléfono intelixente.	Ao principio encántalle poder conectarse a internet en calquera lugar.	Javier decide mercar un teléfono intelixente.	Pero entón bota de menos o seu móbil vello.	2
60facd71-c194-427a-9127-471d5844785e	Raquel decidiu doar sangue no centro de transfusión local.	Estaba un pouco nervioso porque era a súa primeira vez.	Ao día seguinte, Raquel recibiu unha chamada do médico que a asistiu.	O doutor díxolle que tiña malas novas.	Raquel comezou a chorar.	Raquel comezou a bailar da emoción.	1
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f	Ron estaba a ver unha persecución policial na televisión.	O policía perseguía ao delincuente polo seu barrio.	Tiña medo!	Pero entón a policía atrapou ao delincuente.	Ron comezou a recoller tapóns de botella.	Ron aplaudiu a acción policial.	2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5	Sam encántalle o seu cinto vello.	Combínao con todo.	Por desgraza, engordou moito.	Quedoulle moi pequeno.	Sam seguiu unha dieta.	Sam estaba feliz.	1
696b1a71-b684-45ec-8435-7b48274ee411	Larry mercou unha moto nova.	Estaba desexando parecer guai.	A primeira vez que o intentou, caeu.	Fíxose dano na perna e tivo que ir ao hospital.	A Larry encantáballe ir ao hospital.	Larry volveuse máis coidadoso.	2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b	Hai uns días tiven unha cita a cegas.	Era guapa e simpática.	Organizouna un compañeiro de traballo.	Parece que temos cousas en común.	Comezamos a saír e pensar en casar.	Rompimos enseguida.	1
9f32f9ef-0b7b-461b-953f-3d7da39bac87	O picador de café de Sammy estaba roto.	Necesitaba algo para moer as sementes de café.	Colocou as sementes de café nunha bolsa de plástico.	Intentou esmagalas cun martelo.	Sammy non lle encantou o café.	Serviulle a Sammy.	2
3972aeda-e5f8-4776-abbb-8566bf38930a	A semana pasada, Jared ía conducindo ao traballo.	A noite anterior pasárao moi ben.	Non pegou ollo.	Antes de que puidese darse conta, o seu coche estaba no sentido contrario.	Jared volveuse rapidamente e conseguiu evitar a colisión.	Jared decidiu acelerar.	1
a5559b28-d55c-4973-b2ea-18768a60ed06	Bobby tivo que regresar a casa do traballo tarde unha noite.	Decidiu parar un taxi.	Cando estaba no taxi, deuse de conta de que coñecía ao taxista.	Estiveron conversando de camiño a casa.	Bobby pediulle que o levase a un restaurante.	Bobby pareceulle que o tempo pasaba axiña.	2
411b9523-5254-41ff-b740-e039d0423201	Joe cultivou gran parte de terra do seu xardín con chícharos.	Levou os chícharos dentro e desatounos todos.	Despois cociñounos nunha pota grande.	Engadiu xamón, touciño e cenoria para facer unha sopa de chícharos grosos.	Joe reflexionou sobre o traballo no xardín mentres tomaba a deliciosa sopa.	Joe guindou a pota fóra porque odiaba as sopas.	1
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff	Aliza tiña un vello ex mozo moi amable con quen ía reatoparse.	O problema era que se mudara a outro estado.	Decidiu buscalo en Facebook.	Atopouno, pero estaba casado e con fillos.	Aliza estaba triste, pero non volveu contactar con el.	Namorou de Aliza e casou.	1
80b6447f-4c37-4194-9862-3785e5075463	Lina foi ver como se fabrican bastóns de caramelo.	Observou como os traballadores engadían colorantes ao caramelo quente.	Despois, estirábano para darlle brilo.	Finalmente, metíanlle un bastón e deixábano arrefriar.	Lina xa sabe que os paus de caramelo son aburridos.	Lina sentiu un novo aprecio polos bastóns de caramelo.	2
dd3506fe-31ce-4bbb-9000-02c222da3466	Cando me mudei á miña casa, non coñecía aos meus veciños.	Un día, mentres cortaba a herba, atopei unha bola no meu xardín.	Pensei que era a oportunidade perfecta para coñecer aos meus veciños.	Tomei o balón e fun á casa do lado para devolvelo.	Foron moi agradables.	Lancei o balón pola xanela pechada.	1
ad42188e-383b-4c7d-9cd9-906725b7ce12	Bev estivo estudando moito.	Estaba desexando que chegara a fin de semana.	Cando chegou, durmiu ata tarde.	Entón, levantouse e foi á festa.	Cando chegou o domingo pola noite, Bev estaba esgotada de novo.	Bev colleu o correo e alimentou o peixe, como facía todos os días.	1
74b4e567-5d81-42b7-8434-aabf5e9c0027	Cando casaron, a Sue encantáballe cociñar para o seu marido.	Por desgraza, era unha cociñeira espantosa.	A pesar disto, Bob comeu a comida e díxolle que estaba rica.	Para o seu primeiro aniversario, Bob deu a Sue unha clases de cociña.	Ela non volveu cociñar.	Converteuse nunha mellor cociñeira.	2
f8ff777f-de4d-4e3a-91bd-b197ed13f78e	Hai tres semanas, fomos á pizzería de Frank Pepe.	É unha cadea moi coñecida en Connecticut.	A cadea abriu recentemente en Boston.	Fomos pronto para evitar a multitude.	Camiñamos ata 5 cans grosores polo parque do outro lado da cidade.	Comemos unha gran pizza na pizzería de Frank Pepe.	2
dfdf2b81-86fa-48f0-8a47-488ccf3e086b	Bernice quería viaxar a África.	Bernice decidiu que faría unha viaxe o ano seguinte polo seu aniversario.	Bernice comezou a mirar os prezos dos billetes de avión para a viaxe.	Ademais, Bernice tamén mirou o prezo dos hoteis.	Bernice foi a Europa polo seu aniversario.	Bernice decidiu mercar un billete de avión e reservar unha habitación.	2
de06c035-4c96-4ed0-89c2-3ce71e99e9d1	Jim fixo galletas de espinacas.	Vendías a cinco dólares cada unha.	Ninguén mercou ningunha.	Non obstante, no último momento, un home quería mercar vinte.	Quedou sorprendido, pero estaba agradecido.	Jim pensou que estaba tolo e marchou.	1
f547c9a1-be95-439d-922d-1417d7f6b818	O amigo de Randy contoulle como chegar a casa.	Supostamente ía á dereita despois da Casa Branca.	Randy continuou e perdeu.	Desfixo o camiño ata que finalmente a atopou.	Randy díxolle a seu amigo o aliviado que estaba por atopala.	Randy viu a casa, pero continuou conducindo e non volveu.	1
195a43c7-d43e-48e4-845b-fd6c75609df2	Decidín ir en bicicleta co meu irmán.	Os dous saímos unha mañá.	Estabamos pasándoo moi ben.	De súpeto, el bateu cunha rocha e a roda rompeu!	Foi moi divertido ver como meu irmán se estrelou.	Sentinme mal polo meu irmán.	2
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38	Ana foi ao salón de beleza.	Estaba facendo a manicura por primeira vez.	Estaba nervioso, pero o manicuro era amable.	Fixo as uñas de forma rápida e profesional.	Ana sentíase moi á moda cando saíu do salón de beleza.	Ana encantoulle o seu novo corte de pelo.	1
b8c30925-f572-4ac3-b865-1cba592b6f0c	David e Sara eran amigos de pequenos.	Cando comezaron a universidade, cada un mudouse a unha cidade diferente.	O venres, Sara recibiu unha chamada inesperada de David.	Foron cear e conversaron sobre as súas vidas.	Sara alegrouse  de haberse posto ao día.	Sara e David foron cear xusto despois.	1
0a5489f1-beea-4ad6-a6d5-380ba2abd184	AJ e a súa nai estaban no supermercado.	AJ miraba unha caixa de cereais e, cando mirou de novo, a súa nai non estaba.	Inmediatamente comezou a entrar en pánico.	Entón, a súa nai apareceu detrás dun expositor de sopas.	Entón AJ sentiuse triste.	AJ lanzou un suspiro de alivio.	2
fe3caede-4b19-410a-b08f-84d71b18e9f4	Joe foi ao vertedoiro para buscar tesouros.	Buscou nun montón de roupa vella.	No fondo, había unha camiseta vintage dunha banda de rock.	Joe puxo a camiseta para probala.	Joe estaba contento de que lle quedase ben.	Máis tarde, Joe odiaba o rock.	1
e689960d-0515-424b-aac3-5d7160ac2577	Priya decidiu ir a un novo restaurante.	Conduciu a unha nova cafetería que abrira.	Priya sentou nunha mesa.	Pediu unha mimosa e un burrito de almorzo.	Priya pensou que a comida estaba deliciosa.	Priya decidiu non comer e marchar.	1
57d5152a-77db-4156-8330-166edb36b0a2	A Karen asignáronlle un compañeiro de habitación o primeiro ano de universidade.	Un día, o seu compañeiro de piso pediulle que fose a unha cidade próxima para un concerto.	Karen accedeu encantada.	O programa foi emocionante.	Karen odiaba a súa compañeira de habitación.	Karen fíxose moi amiga coa súa compañeira de habitación.	2
726a0fc9-8c6f-451e-838b-c48140817dfc	O ano pasado, fomos de vacacións en familia á praia.	Pasei moito tempo lendo na praia coa miña nai.	Un día, mentres estaba a ler, picouume unha horrible avespa de praia.	O meu brazo inchaba e doíame, case teño que ir ao hospital.	Ao final, curou.	Decateime de que me gustaba estar inchado.	1
28f02d77-17f2-4ae0-bac9-3d6b48603662	O reloxo de Juan levaba tempo roto.	Non tiña cartos para solucionalo.	A súa muller decidiu levalo a arranxar e pagaou por el.	Deulle cando regresou á casa do traballo.	John estaba moi molesto coa súa muller.	John estaba moi feliz.	2
696b9d6a-40a4-434d-8a01-aec20c4400a3	Donald era como o pallaso da clase.	Quería ser o delegado da clase.	Entón, pensou que se fose parvo, a xente votaría por el.	Acostumaba levantarse e berrar e facer tonterías.	Don odiaba as eleccións.	Donald esperaba que as súas tonterías lle axudasen a gañar as eleccións.	2
16eeb330-b579-4a0f-a1e6-0b7aad454c54	Eddie e Ángela levaban moito tempo sen falarse.	Vivían na mesma casa como se non se coñecesen.	Finalmente, sentaron e acordaron que tiñan que divorciarse.	Eddie foi ao xulgado e presentou os papeles.	Uns meses despois, divorciáronse.	Volveron a namorarse e continuaron xuntos para sempre.	1
ed614284-2364-4b9c-bc02-5e0aad3d8968	Raquel adoptou un gato hai máis de dez anos.	De súpeto, o gato comezou a ser máis apático e perder peso.	Rachel, preocupada, levou o gato ao veterinario.	O veterinario díxolle a Raquel que o gato tiña cancro.	Rachel estaba emociononada coa noticia.	O veterinario tratou o mellor que puido o cancro de gato.	2
87678fdf-ad4e-4ff0-93d0-039fa451b49b	Jim é un piloto novedoso e nunca o detiveron.	Onte pararon a conducir rapidamente.	O axente explicoulle por que lle puxeran unha multa.	Jim terá que traballar máis para pagar a multa.	Jim está moi molesto.	Jim estaba contento de ver ao axente.	1
33882739-51ca-446f-8bd0-2bbf7cfcba37	Encántanme os aguacates.	Comín un bocadillo cuberto deles.	Despois de comelo, picábame e ardíame a boca.	Díxenllo ao meu médico máis tarde.	Díxome que estaba paranoico e cobroume 100 dólares.	Ao parecer, teño alerxia aos aguacates.	2
3ef66340-b2fd-4c12-bc1c-b28730b571a1	David era un escritor que lle era difícil atopar inspiración para o seu traballo.	Un día, soñou que estaba nun mundo post -apocalíptico.	Pensou que ese era o seu destino e comezou a escribir os seus pensamentos.	Finalmente, escribira centos de páxinas.	Entón, David subiu o seu novo vídeo.	Entón, David publicou o seu manuscrito.	2
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f	Boris estaba enganchado aos videoxogos.	A súa nai estaba preocupada.	Chamou a un psicólogo para pedir axuda.	O psicólogo intentou convencer a Boris para deixar a súa adicción.	Boris entendeu que estaba perdendo a vida.	Boris decidiu poñerse o vestido.	1
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3	Un oficial de policía está hoxe con gripe.	Non podía ir ao traballo, xa que apenas podía saír da cama.	A súa muller coidaba del e asegurábase de que estivese ben.	Asegurouse de beber e comer o suficiente.	O oficial de policía tivo que entregar a súa placa e a súa arma.	Ao final, o oficial de policía recuperouse.	2
78eea25f-f831-409d-841a-1a3467f833b5	Jennifer notou que lle ruxía o estómago.	Pensou cando era a última vez que comera e deuse conta de que facía moito.	Levantouse do sofá e foi á cociña.	Despois de preparar unha gran comida e comela, volveuse a sentir ben.	Jennifer xa non tiña fame.	Jennifer quería máis comida.	1
1ad020f7-a18a-45f9-a112-b9ca83afcad2	O meu amigo Nathan e a súa familia foron un verán para o lago.	Un día, o pai de Nathan marchou e non deixou un chisqueiro para súa nai.	Ben, a nai estaba moi molesta e fíxoo camiñar descalzo ata a tenda.	O pobre Nathan tivo que camiñar por unha estrada de grava para levar os mistos a súa nai.	Cando Nathan volveu, sentiuse moi ben polo exercicio.	Cando Nathan volveu, súa nai pediulle perdón por ser tan mala.	2
e829b3e7-8fec-4a34-a150-96381f7f0073	Jeremiah está a buscar un traballo a tempo parcial que lle axude a aforrar.	Contratárono nunha tenda de bocadillos para distribuír folletos sobre os bocadillos.	Ao principio, a Jeremiah encantáballe o seu traballo porque lle gusta coñecer xente nova.	Ao final, parécelle esgotador estar tanto tempo fora.	Jeremiah segue traballando fóra.	Jeremiah está valorando para cambiar de traballo.	2
127daf23-f8a3-45af-94c4-f94e72710727	Dúas mulleres novas decidiron ir correr dez quilómetros preto da base aérea.	Cando levaban cinco quilómetros, viron un lobo solitario gris cos ollos azuis.	Intentaron asustalo, pero seguiu achegándose a elas.	As dúas mulleres encaixáronse nunha árbore e esperaron a que pasase alguén.	A xente asustou ao lobo e as dúas mulleres estaban a salvo.	As dúas mulleres caeron por un barranco.	1
31dd2600-d4c3-4f15-a336-cd0c32237d06	Gary era un neno valente.	Un día, decidiu saltar o peche do seu xardín.	Seus pais buscárono por todas partes.	Atopárono sentado no bambán do parque.	Os pais de Gary calmáronse cando o atoparon.	Os pais de Gary quedaron decepcionados por atopalo.	1
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043	Atraparon a Timmy con multas non pagadas.	Non tiña cartos suficientes para pagalas.	Pola contra, arrestárono e encarcerárono durante dous días.	Perdeu o seu empleo por faltar ao traballo.	A Timmy ascendérono por trabar tanto tempo.	Entón Timmy tivo que buscar outro traballo.	2
a62e9212-e75b-4078-ae68-f56a1164dc70	Cando era pequeno fun a un campamento de verán.	Pasámolo xenial xogando cos monitores.	O que máis me gustou foi xogar ás cartas.	Os monitores do campamento coñecían moitos xogos de cartas diferentes.	O meu tempo co pastor foi moi útil.	O meu xogo de cartas favorito era o póker.	2
67cf2fb0-431a-404d-9c9f-826dd2d3472b	Amber tiña moitas cousas que facer este domingo.	Fixo unha lista de todos os lugares onde tiña que ir.	Arranxouse rapidamente.	Preocupáballe non ter tempo suficiente.	Amber gozou dun relaxante brunch de dúas horas.	Amber tiña tanta présa que deixou a lista na casa.	2
dba303f0-ede3-4834-aad4-767eadafa744	Eve necesitaba un sofá novo para a sala de estar.	Pero non se podía permitir comprar un!	Máis tarde, foi a unha tenda de segunda man e atopou un estupendo.	Fixo que llo levaran a casa e púxoo na sala de estar.	Comprou un novo sofá para substituílo.	Eve pensou que o sofá era moi cómodo.	2
7c183d9b-d1fd-414f-8c95-c17132422732	Jason tiña pánico ás arañas.	Foi a un terapeuta para falar do seu medo.	O terapeuta díxolle que tería que afrontar o seu medo e superalo.	Como deberes, Jason tivo que buscar unha araña no soto.	Alí, atopou unha moi grande.	Jason deuse unha ducha quente.	1
5b6f539e-eb73-4ca4-b359-a1f85e96effd	Linda comezou a ter problemas cun compañeiro de traballo.	A súa compañeira comezara a manipulala no traballo.	A súa compañeira incluso falou mal dela as súas costas.	Linda foi a falar co seu xefe sobre o tema e o xefe mediu entre elas.	O xefe despediuna ao día seguinte.	Linda e a súa compañeira acabaron sendo mellores amigas.	2
cb1dd642-75fd-43ae-bb80-d019a2a9cb8e	Sara quería que os seus fillos pasasen un gran Nadal.	Aforrou todo o ano e comezou a facer as súas compras en novembro.	Comprou ofertas e gastou todo o que aforrara.	Pasou dous días envolvendo as decenas de agasallos.	Todos os agasallos foron envoltos e almacenados durante as vacacións.	Cambiou todos os agasallos para outros máis baratos.	1
0f797de2-3d82-46d1-a370-c278a36ad785	Megan leva anos loitando contra a súa drogodependencia.	Tocou fondo cando perdeu a súa familia e os seus fillos.	A súa familia, da que estaba distanciada, decidiu intervir.	Despois do sucedido, entrou nun centro de rehabilitación.	Despois dun tempo, foi capaz de deixar as drogas.	Cando chegou, pasou o día consumindo drogas.	1
6623b60e-9200-4019-9a95-521adc03524d	Tyler leva anos no paro.	Pasou os últimos meses buscando traballo con dilixencia.	Non obstante, rexeitaron todas as súas solicitudes de traballo.	As negativas contribúen a que Tyler se sinta desesperado.	Está entusiasmado coas súas novas responsabilidades no traballo.	É consciente de que terá que solicitar axuda pública.	2
4624ac21-eb88-4b07-a052-cc6d3466736c	Miranda está casada con Bob.	A Bob non lle gusta que Miranda traballe tanto.	Miranda dille a Bob que lle gusta o seu traballo e que non o vai deixar.	Bob dálle a Miranda un ultimátum.	Miranda deixa o traballo.	Miranda decide aceptar un segundo traballo.	1
0819f0b4-3760-453b-b6d2-d61e7b36decd	O meu curmán tivo unha experiencia horrible coa súa coidadora.	Tiñan unha cámara escondida.	Atoparon unha gravación dela zarandeando ao bebé.	O bebé ten moitos problemas.	Déronlle unha boa avaliación á coidadora.	Denunciaron á coidadora á policía.	2
57f0ad88-0dad-4cce-95da-30175ff0ba40	Bobby ía celebrar unha festa polo seu aniversario.	Os seus amigos compráronlle unha torta enorme.	Saíu unha muller dentro da torta.	Bobby quedou sorprendido e divertíase.	Bobby pasou un bo rato na festa.	Bobby enfadouse cos seus amigos.	1
a5ac20db-ed05-49d7-8960-2035a9dce14d	Foi o último día das nosas vacacións.	Estabamos comendo na terraza do hotel.	Rimos e sorrimos porque foran unhas grandes vacacións.	Despois fixemos as bolsas e dirixímonos ao aeroporto.	Queremos volver algún día.	Todos xuramos nunca volver.	1
3f191c72-305c-487d-8da0-7335fedc270f	A nai pediu aos nenos que a axudasen a dobrar a coada.	Os nenos levaron a roupa limpa á sala de estar.	Tiraron a roupa ao chan.	Dobraron a roupa e puxérona en montóns con coidado.	A roupa estaba sucia e sen dobrar.	Despois gardaron a roupa coidadosamente.	2
dacd5655-337c-4c89-a87f-edd54067cfb9	A Timmy encántalle ver os debuxos.	Os seus pais non o deixan velos a menos que faga os deberes.	A tarefa de hoxe é limpar a súa habitación.	A habitación de Timmy é un desastre.	Timmy foi ao comedor para o almorzo.	Timmy pasou todo o día limpando para ver a televisión.	2
85cc4bad-5cd3-494f-be90-e3c16e512cab	A miña filla celebrou a festa do seu bebé na nosa casa de Boston.	Invitou a amigos e familiares que viven na zona.	O seu ex - compañeiro de piso da universidade vive en Hawaii.	Decidiu voar 4800 quilómetros para sorprender á miña filla.	A miña filla quedou decepcionada.	A miña filla estaba emocionada.	2
c94d227a-4fde-4a0f-acc7-359406c16a52	Craig adoitaba xogar sempre aos dardos.	Foi a un bar da zona e intentou abrirse paso.	Ao principio foi moi malo.	Despois, conseguiu que lle apostaran unha copa ou cartos.	Craig fíxoo demasiadas veces e os propietarios golpeárono.	Craig gañou a partida de póker sen problemas.	1
7e12768d-0e37-4940-9dcf-186ba3916660	A festa era na casa de Pam.	Todos levaban agasallos.	Pam mercou unha torta.	Todos bailaron e divertíronse!	Pam foi unha anfitrioa horrible.	Pam era unha boa anfitrioa.	2
d10f40c6-f5f0-4273-82e0-90aa22520588	Ellen sempre odiaba a escola.	Os nenos burlábanse diariamente.	Chamárona Elly, a estancada.	Decidiu comezar a bañarse.	A Ellen gustoulle a atención negativa.	Ellen quedou horrorizada.	2
322525fb-6970-4c56-89ae-375664d8e320	Jim tivo a súa primeira tarxeta de crédito na universidade.	Non tiña traballo, así que merquei todo coa tarxeta.	Cando se graduou, debía 10000 dólares.	Jim entendeu que era parvo por gastar tantos cartos.	Jim decidiu idear un plan para devolvelo.	Jim decidiu contratar outra tarxeta de crédito.	1
9bc05c17-a739-462c-970c-f5279779f3a5	Tim inscribiuse nun concurso de pastelería.	Decidiu facer os seus famosos Dels.	Fixo un gran lote e presentounos ao concurso.	Os xuíces pensaron que eran deliciosos.	Os xuíces vomitados polo sabor das rosquillas.	Tim gañou o concurso de pastelería.	2
9843660b-4a86-4cae-b6d7-03d73b88426e	O meu fillo de dous anos negouse a usar calzóns de aprendizaxe.	Sempre quixen levar un cueiro.	Un día, de frustración, deixei que estea espido.	Cando non miraba, marchou só no váter.	Agora non traio calzóns de adestramento.	Os servizos de protección menor foron tomados de casa.	1
